Variable:,tasmin
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
2011,0.53,-2.88,0.03,1.35,3.42,4.11,-1.00,-2.09,3.94,6.72,5.68,-2.77,-3.30,-2.90,5.65,1.92,3.60
2012,0.83,-2.67,1.32,0.71,4.53,3.59,-0.93,-1.24,4.38,7.33,6.28,-2.87,-3.03,-3.25,5.31,3.28,2.77
2013,2.44,-0.76,2.56,2.34,5.52,5.25,1.16,0.23,6.06,8.15,7.34,-0.86,-1.54,-1.16,6.77,4.11,4.15
2014,0.63,-2.62,0.54,0.87,3.81,3.49,-1.03,-1.59,3.83,7.11,5.89,-2.57,-3.08,-2.65,5.11,2.46,2.91
2015,2.27,-0.95,1.93,2.73,4.90,5.44,1.02,-0.20,5.87,7.87,7.02,-0.89,-1.64,-0.96,6.96,3.46,4.61
2016,2.20,-1.23,2.32,2.32,5.29,5.24,0.85,-0.21,6.21,8.00,7.26,-1.44,-2.00,-1.62,6.96,3.76,4.27
2017,1.82,-1.30,1.71,1.79,4.98,4.57,0.47,-0.44,5.11,7.84,6.81,-1.28,-1.88,-1.54,6.20,3.55,3.63
2018,0.69,-3.16,0.61,1.03,4.22,4.11,-1.05,-1.94,4.35,7.68,6.43,-3.13,-3.66,-2.91,5.97,2.52,3.16
2019,2.00,-1.45,2.02,2.19,5.10,5.13,0.48,-0.35,5.76,8.19,7.22,-1.41,-1.95,-1.74,6.94,3.50,4.16
2020,2.55,0.12,2.72,1.96,5.75,4.78,1.19,0.86,5.45,8.38,7.29,0.17,-0.16,-1.17,6.29,4.38,3.73
