Variable:,tasmin
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
1997,1.02,11.66,4.81,12.37,14.38,-1.22,17.55,16.69,11.60,20.86,4.05,-4.22,9.70,11.55,13.18,11.08,13.99,-0.87,2.82,-2.66,1.66,-10.11,5.58,8.91,12.99,2.95,3.11,8.31,-0.74,-10.36,9.89,12.45
1998,1.87,12.41,5.56,12.90,15.32,-0.25,18.27,17.17,12.10,21.54,4.78,-3.83,10.48,12.12,13.67,11.86,14.70,-0.05,3.57,-1.65,2.45,-8.70,6.26,9.59,13.68,3.65,3.97,8.94,-0.18,-9.09,10.73,13.33
1999,1.63,11.81,5.27,12.65,14.50,-0.38,17.61,16.62,11.76,21.11,4.49,-4.56,10.07,11.77,13.32,11.31,14.01,-0.85,2.97,-2.29,2.41,-8.86,6.14,9.19,13.08,3.53,3.82,8.74,0.05,-8.90,10.49,12.56
2000,1.15,12.07,4.49,12.15,14.58,-1.02,17.55,16.24,11.23,20.87,3.92,-5.01,10.15,11.67,13.07,11.42,14.18,-1.47,2.36,-2.90,1.85,-9.60,5.75,9.03,13.10,3.11,3.10,8.17,-0.51,-9.48,10.04,12.83
2001,1.43,12.09,4.87,12.45,14.53,-0.57,17.63,16.48,11.47,20.89,4.11,-4.82,10.17,11.77,13.21,11.50,14.14,-1.39,2.48,-2.55,2.43,-9.20,6.17,9.08,13.28,3.41,3.55,8.34,-0.20,-9.15,10.42,12.85
2002,1.69,12.33,5.20,12.57,14.96,-0.45,18.05,16.83,11.58,21.17,4.47,-3.93,10.32,12.02,13.44,11.68,14.49,-0.63,3.13,-1.90,2.41,-9.08,6.15,9.29,13.41,3.62,3.56,8.62,0.08,-9.33,10.40,13.08
2003,1.47,11.91,4.55,12.57,14.26,-0.55,17.70,16.67,11.75,21.12,3.92,-3.94,10.03,11.81,13.14,11.15,13.82,-0.42,3.04,-2.38,1.99,-8.88,5.97,8.84,12.85,3.29,3.84,8.11,-0.60,-9.15,10.59,12.43
2004,1.60,12.05,5.25,12.41,14.16,-0.71,17.25,16.17,11.26,20.66,4.49,-3.85,10.21,11.84,13.08,11.48,13.75,-0.26,3.44,-2.02,1.81,-8.99,5.88,9.48,13.28,3.44,3.38,8.74,0.21,-9.17,10.03,12.58
2005,1.48,11.90,4.63,12.55,14.53,-0.64,17.66,16.51,11.64,20.72,3.90,-4.43,10.10,11.88,13.23,11.13,14.16,-1.13,2.46,-2.59,1.85,-8.56,5.80,8.87,12.93,3.09,3.83,8.12,-0.45,-8.89,10.66,12.67
2006,1.88,12.53,5.31,12.80,14.91,-0.09,17.93,16.76,11.80,21.18,4.62,-4.78,10.77,12.33,13.64,11.87,14.52,-1.02,2.87,-2.29,2.67,-8.29,6.56,9.60,13.55,4.04,3.76,8.90,0.39,-8.54,10.52,13.13
2007,2.01,12.72,5.67,12.80,15.03,-0.23,17.90,16.47,11.66,21.02,4.90,-3.41,10.82,12.45,13.65,12.07,14.55,0.22,3.60,-1.29,2.71,-8.82,6.52,9.88,13.79,4.12,3.65,9.14,0.34,-8.90,10.34,13.28
2008,1.55,11.94,4.96,12.31,14.34,-0.92,17.23,15.97,11.21,20.35,4.21,-3.52,10.11,11.84,13.03,11.29,13.94,-0.20,3.10,-1.89,1.88,-9.08,5.81,9.27,13.02,3.32,3.28,8.24,-0.08,-9.09,10.18,12.58
2009,1.67,12.10,4.82,12.75,14.57,-0.32,17.67,16.63,11.82,20.98,4.10,-4.79,10.39,12.15,13.48,11.40,14.12,-1.45,2.42,-2.45,2.47,-8.19,6.28,9.20,13.15,3.51,3.97,8.29,-0.14,-8.58,10.53,12.78
2010,1.55,11.70,4.67,12.35,14.62,-0.27,17.68,16.57,11.51,20.80,4.00,-4.91,10.12,11.69,13.10,11.06,13.99,-1.39,2.38,-2.79,2.47,-8.47,6.02,8.99,12.78,3.46,3.75,8.03,-0.13,-8.57,10.73,12.54
2011,1.35,11.43,4.39,12.20,14.24,-0.49,17.00,15.90,11.21,20.27,3.71,-4.50,9.86,11.43,12.83,10.82,13.61,-1.32,2.31,-2.59,2.41,-8.61,5.98,8.79,12.64,3.28,3.37,7.79,-0.31,-9.03,10.16,12.32
2012,1.17,11.67,3.92,12.47,14.72,-0.93,17.67,16.64,11.68,20.69,3.39,-5.00,9.98,11.65,13.17,11.06,14.12,-1.55,2.15,-3.25,1.86,-8.86,5.81,8.80,12.85,2.94,3.57,7.65,-0.88,-9.11,10.34,12.66
2013,1.57,11.79,4.64,12.60,14.67,-0.40,17.55,16.50,11.70,20.79,3.99,-4.47,10.24,11.79,13.18,11.25,13.95,-1.18,2.51,-2.37,2.48,-8.85,6.18,9.08,13.11,3.24,3.54,8.03,0.23,-9.11,10.32,12.64
2014,1.65,12.22,5.53,12.68,14.78,-0.47,17.87,16.81,11.86,21.12,4.89,-4.25,10.42,11.95,13.32,11.74,14.20,-0.83,3.10,-1.74,2.58,-8.90,6.17,9.98,13.40,4.00,3.61,8.90,-0.58,-9.02,10.39,13.00
2015,1.97,12.17,5.33,12.82,15.33,-0.19,18.41,17.35,12.23,21.60,4.71,-3.66,10.33,11.97,13.70,11.68,14.64,-0.37,3.34,-1.55,2.70,-8.96,6.18,9.85,13.49,3.84,3.55,8.84,0.62,-9.16,10.67,13.30
2016,1.87,12.59,5.37,12.90,15.37,-0.08,18.17,16.88,11.91,21.23,4.71,-4.72,10.51,12.25,13.60,12.05,14.68,-0.94,3.10,-2.13,2.55,-8.66,6.35,9.84,13.93,4.00,3.80,8.75,0.23,-8.60,10.55,13.66
2017,1.98,12.56,5.64,12.85,15.19,0.13,18.11,16.96,11.88,21.29,4.97,-4.11,10.53,12.22,13.52,12.05,14.54,-0.72,3.13,-1.64,2.70,-8.41,6.42,9.94,13.77,4.16,3.83,9.01,0.14,-8.59,10.53,13.50
2018,1.64,12.49,5.18,12.76,15.17,-0.46,18.03,16.80,11.74,21.08,4.55,-4.26,10.41,12.11,13.43,11.93,14.51,-0.76,2.90,-1.98,2.37,-8.83,6.24,9.67,13.73,3.87,3.76,8.56,-0.73,-8.78,10.32,13.42
2019,1.85,12.49,5.21,12.87,15.33,-0.13,18.35,17.17,11.99,21.66,4.59,-3.90,10.37,12.08,13.48,11.97,14.59,-0.36,3.28,-1.92,2.58,-8.60,6.25,9.78,13.75,3.78,3.89,8.69,-0.12,-8.87,10.55,13.51
2020,1.84,12.61,5.02,12.91,15.57,-0.30,18.50,17.25,12.06,21.65,4.46,-3.45,10.36,12.22,13.72,12.01,14.88,-0.19,3.29,-1.76,2.48,-8.89,6.18,9.70,13.88,3.67,3.87,8.58,-0.31,-9.03,10.61,13.74
