Variable:,tasmin
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
1955,10.00,5.38,17.42,4.11,4.75,9.08,9.99,7.70,2.50,9.42,17.37,11.01,10.38,15.34,9.17,2.92,12.77,4.98,5.22,8.84,11.64,14.49,7.31,4.11,9.27,2.43,5.33,10.73,4.41,10.76
1956,9.34,4.36,17.14,3.47,2.85,8.37,9.80,6.05,1.38,8.70,17.32,10.11,10.23,14.73,8.67,1.55,11.33,4.09,4.20,7.53,10.56,14.65,6.04,2.16,8.76,0.87,3.40,9.50,2.96,9.67
1957,9.28,4.91,17.21,3.67,4.00,8.21,9.64,6.77,1.99,8.14,17.18,10.64,9.86,15.09,8.83,2.24,11.79,4.58,4.64,7.76,10.29,14.36,6.40,3.31,8.31,1.64,4.48,9.32,3.67,9.99
1958,9.95,4.78,17.72,3.95,3.84,8.83,10.46,6.91,2.03,9.09,18.23,10.52,10.91,15.18,9.14,2.19,12.16,4.61,4.85,8.36,11.22,15.31,6.85,3.08,9.21,1.64,4.40,10.15,3.78,10.41
1959,9.39,4.10,17.11,3.31,3.10,8.24,9.81,6.13,1.26,8.51,17.71,9.90,10.52,14.56,8.51,1.45,11.39,3.95,4.11,7.60,10.56,15.13,6.09,2.34,8.66,0.84,3.61,9.42,3.02,9.68
1960,9.64,4.95,17.70,3.92,4.10,8.63,10.27,6.90,2.03,8.56,17.76,10.67,10.37,15.30,9.18,2.35,12.02,4.64,4.77,8.10,10.90,14.44,6.69,3.44,8.92,1.69,4.58,9.81,3.74,10.29
1961,9.88,5.30,17.27,4.12,4.35,8.84,9.92,7.40,2.58,9.02,17.59,10.97,10.59,15.34,8.97,2.70,12.49,5.13,5.32,8.60,11.27,14.85,7.06,3.51,8.99,2.19,5.07,10.32,4.24,10.71
1962,9.84,6.14,17.75,4.63,4.86,9.07,10.07,7.74,3.39,8.61,17.28,11.82,10.05,16.06,9.46,3.43,12.62,5.94,5.94,8.67,11.13,14.12,7.37,4.20,8.79,2.78,5.48,10.04,4.69,11.17
1963,10.54,5.99,17.77,4.86,4.75,9.62,10.48,7.90,3.43,9.80,18.03,11.63,11.24,16.01,9.62,3.32,12.89,5.84,6.14,9.02,11.75,15.56,7.76,3.92,9.73,2.82,5.48,10.63,5.01,11.56
1964,8.89,4.05,16.61,3.37,2.77,8.01,9.21,6.19,1.42,7.86,16.81,9.72,9.80,14.50,8.25,1.32,11.29,3.98,4.23,7.31,10.01,14.14,5.92,1.77,8.24,0.93,3.74,8.94,3.07,9.70
1965,9.92,5.49,17.71,4.63,3.75,9.11,10.13,7.06,2.78,9.09,17.47,11.33,10.58,15.94,9.51,2.63,12.09,5.44,5.52,8.16,11.00,14.89,6.90,2.89,9.19,2.04,4.55,9.89,4.20,10.81
1966,10.40,6.60,17.97,5.27,5.75,9.73,10.34,8.41,3.93,9.23,17.49,12.15,10.60,16.51,9.93,4.01,13.23,6.27,6.56,9.25,11.70,14.76,8.07,5.03,9.54,3.41,6.25,10.43,5.42,11.85
1967,9.55,4.93,17.00,4.06,3.56,8.65,9.70,6.82,2.34,8.52,17.38,10.67,10.31,15.23,8.81,2.12,11.88,4.90,5.17,8.07,10.71,14.84,6.72,2.70,8.84,1.64,4.26,9.58,3.86,10.49
1968,9.92,5.36,17.45,4.64,4.26,9.11,9.90,7.44,2.80,8.97,17.30,11.18,10.47,15.90,9.46,2.70,12.42,5.37,5.58,8.59,11.16,14.95,7.24,3.42,9.12,2.31,4.93,9.90,4.43,10.94
1969,9.87,5.78,18.10,4.82,3.86,9.08,10.54,6.48,2.86,8.42,17.86,11.56,10.82,16.19,9.89,2.87,11.37,5.69,5.40,7.59,10.42,15.12,6.35,3.47,9.39,1.77,4.15,8.80,3.62,10.45
1970,10.36,5.81,17.77,4.95,4.62,9.70,10.54,7.40,3.17,9.31,18.04,11.51,11.09,15.95,9.75,3.12,12.55,5.70,5.97,8.89,11.72,15.26,7.56,4.18,9.79,2.42,4.93,10.44,4.45,11.47
1971,9.92,5.26,17.54,4.70,3.64,9.40,10.12,7.09,2.76,9.17,17.20,11.20,10.42,15.77,9.52,2.40,12.29,5.41,5.68,8.67,11.49,14.49,7.29,2.97,9.33,1.96,4.30,10.31,4.19,11.18
1972,8.68,3.88,17.02,3.64,2.21,8.13,9.41,5.99,1.37,7.35,16.54,10.04,9.34,14.88,8.69,1.00,11.19,4.24,4.32,7.52,10.12,13.46,6.09,1.39,8.18,0.67,3.10,8.85,3.00,9.80
