Variable:,tasmin
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
2010,3.34,4.10,3.52,2.95,2.05,4.19,4.28,4.31,2.06,4.48,3.38,3.34,5.72,2.86,3.41,5.02
2011,3.70,4.28,4.00,3.06,2.59,4.61,4.42,4.48,2.73,4.82,3.51,3.92,5.99,3.14,3.96,5.15
2012,4.01,4.74,4.61,3.70,2.54,5.17,5.09,5.19,2.48,5.50,4.21,4.32,5.92,2.89,4.54,5.80
2013,3.86,4.22,4.41,3.28,2.81,4.99,4.73,4.92,2.76,5.24,3.90,4.25,5.71,2.81,4.33,5.48
2014,4.00,4.75,4.55,3.49,2.60,5.08,4.87,5.15,2.41,5.46,4.11,4.31,6.37,3.49,4.49,5.68
2015,4.28,5.26,4.73,3.86,2.78,5.32,5.14,5.36,2.58,5.66,4.33,4.46,6.75,3.77,4.64,5.95
2016,4.12,4.64,4.73,3.34,2.88,5.42,4.96,5.38,2.84,5.73,4.31,4.38,6.29,3.33,4.58,5.96
2017,4.26,4.95,4.81,3.66,2.89,5.38,5.04,5.36,2.83,5.75,4.29,4.61,6.55,3.62,4.78,5.93
2018,3.91,4.55,4.33,3.32,2.52,5.02,4.77,5.06,2.68,5.39,4.03,4.06,6.15,3.26,4.21,5.64
2019,4.02,4.71,4.52,3.25,2.53,5.25,4.81,5.33,2.71,5.63,4.28,4.10,6.49,3.57,4.34,5.85
2020,4.19,4.95,4.59,3.59,2.67,5.32,5.11,5.42,2.89,5.66,4.42,4.20,6.67,3.67,4.41,6.02
