Variable:,tasmin
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1946,3.83,3.28,2.83,3.74,4.15,4.31,1.92,3.58,4.65,4.62,3.41,6.53,3.49,3.20,3.79,4.13,5.58,3.54,3.10,2.62,3.66,3.81,3.18,2.28,5.02,3.08
1947,3.40,2.82,2.53,3.17,3.76,4.08,1.32,3.27,4.27,4.00,2.95,6.30,3.04,2.56,3.62,3.67,5.11,3.20,2.47,2.35,3.02,3.29,2.43,1.75,4.71,2.51
1948,3.79,3.31,3.30,3.49,3.86,3.94,1.85,3.49,4.14,4.73,3.28,6.07,3.70,3.37,3.63,3.80,5.23,3.60,3.53,2.95,3.71,3.79,3.56,2.22,4.55,3.40
1949,4.03,3.75,3.65,3.71,4.08,3.89,2.02,3.49,4.40,5.07,3.73,6.18,4.10,3.56,3.42,4.25,5.62,3.91,3.87,3.14,3.96,4.20,3.84,2.33,4.63,3.80
1950,3.76,3.31,2.90,3.77,3.84,3.79,2.00,3.02,4.63,4.70,3.44,6.56,3.54,3.33,3.09,4.29,5.84,3.38,3.28,2.42,3.73,3.90,3.32,2.39,4.63,3.17
1951,4.14,3.63,3.00,4.29,4.21,4.24,2.71,3.22,5.04,5.20,3.78,7.01,3.81,4.02,3.39,4.69,6.36,3.56,3.61,2.47,4.27,4.31,3.77,3.17,5.17,3.50
1952,3.82,3.18,2.73,3.23,4.45,4.68,1.58,3.57,5.19,4.17,3.49,7.24,3.23,2.80,3.86,4.39,5.75,3.58,2.68,2.48,3.18,3.47,2.72,2.01,5.56,2.65
1953,3.08,2.51,2.44,2.94,3.11,3.15,1.39,2.42,3.66,4.09,2.54,5.68,2.89,2.98,2.51,3.23,4.72,2.71,2.93,1.93,3.10,3.07,3.09,1.88,3.96,2.67
1954,2.88,2.28,2.22,2.42,3.10,3.34,0.76,2.50,3.75,3.54,2.37,5.92,2.55,2.18,2.76,3.13,4.61,2.57,2.30,1.80,2.44,2.73,2.33,1.22,4.09,2.14
1955,3.78,3.11,2.78,3.16,4.36,4.77,1.37,3.63,4.99,4.21,3.35,7.10,3.21,2.66,4.10,4.18,5.54,3.54,2.80,2.51,3.14,3.45,2.77,1.71,5.46,2.73
1956,2.10,1.65,1.34,1.85,2.33,2.43,0.11,1.58,2.88,2.92,1.75,4.82,1.90,1.45,1.75,2.51,4.00,1.77,1.51,0.83,1.85,2.11,1.51,0.52,3.19,1.46
1957,4.15,3.62,3.63,3.47,4.54,4.85,1.73,4.17,4.75,4.70,3.71,6.70,3.91,3.17,4.51,4.30,5.59,4.06,3.51,3.34,3.58,3.89,3.48,2.10,5.36,3.42
1958,3.99,3.55,3.16,3.87,4.09,4.22,2.23,3.33,4.70,4.97,3.61,6.67,3.83,3.52,3.49,4.35,5.87,3.59,3.53,2.66,3.94,4.09,3.53,2.58,4.99,3.46
1959,3.52,3.07,2.98,3.34,3.55,3.52,1.72,2.87,4.06,4.48,3.10,5.99,3.45,3.24,2.88,3.76,5.25,3.15,3.32,2.40,3.43,3.57,3.45,2.17,4.34,3.12
1960,4.43,4.00,3.60,4.06,4.83,4.88,2.29,4.08,5.39,5.07,4.16,7.32,4.14,3.53,4.24,4.94,6.36,4.18,3.54,3.23,4.02,4.38,3.54,2.63,5.71,3.58
1961,4.25,3.73,3.30,3.68,4.59,4.94,1.91,3.70,5.26,4.88,3.95,7.24,4.02,3.37,4.20,4.73,6.11,3.70,3.69,2.92,3.73,4.13,3.73,2.26,5.68,3.64
1962,4.09,3.59,3.01,3.18,4.72,5.19,1.32,3.73,5.46,4.43,3.90,7.53,3.79,2.56,4.32,4.74,6.01,3.63,3.08,2.67,3.24,3.84,2.92,1.52,5.95,3.21
1963,2.83,2.11,1.35,2.42,3.35,3.87,0.73,2.16,4.32,3.41,2.50,6.46,2.24,1.98,2.87,3.46,4.88,2.08,2.01,1.02,2.44,2.60,2.12,1.03,4.72,1.90
1964,3.14,2.69,2.19,2.66,3.46,3.63,0.82,2.48,4.20,3.84,2.96,6.15,2.95,2.25,2.82,3.78,5.26,2.59,2.51,1.74,2.66,3.17,2.50,1.11,4.49,2.52
1965,2.91,2.34,1.71,2.48,3.28,3.73,0.73,2.37,4.03,3.59,2.57,6.06,2.55,2.05,2.94,3.43,4.90,2.30,2.15,1.39,2.56,2.81,2.19,1.02,4.47,2.13
1966,5.19,4.64,4.31,4.35,5.94,6.27,2.63,5.19,6.41,5.43,4.91,8.46,4.72,3.88,5.56,5.71,7.00,5.13,3.89,4.07,4.37,4.78,3.83,2.96,6.94,3.98
1967,4.01,3.48,3.32,3.75,4.17,4.33,2.08,3.40,4.75,4.88,3.54,6.72,3.84,3.56,3.63,4.28,5.80,3.61,3.66,2.72,3.82,3.95,3.80,2.41,5.09,3.48
1968,3.86,3.22,2.67,3.89,4.15,4.48,2.22,3.32,4.79,4.79,3.42,6.84,3.42,3.42,3.71,4.23,5.74,3.35,3.15,2.23,3.86,3.85,3.30,2.49,5.20,3.05
1969,2.62,1.99,1.58,2.54,2.98,3.12,0.95,2.04,3.78,3.35,2.18,5.88,2.14,2.20,2.26,3.07,4.58,2.16,1.72,1.15,2.46,2.52,1.82,1.45,4.00,1.66
