Variable:,tasmin
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
1976,-0.76,-0.34,-0.01,-0.84,-1.64,-0.67,0.21,-1.88,1.42,0.87,0.12,0.12,-0.19,-1.18,-0.86,-0.05,-1.48,0.65,-0.58,-0.17,-2.00,-0.04,-0.57,0.02,0.12
1977,-1.29,-0.58,-0.59,-1.48,-1.95,-1.07,-0.41,-2.78,1.25,0.66,-0.34,-0.34,-0.72,-1.88,-1.73,-0.11,-2.27,0.22,-1.21,-0.77,-2.86,-0.49,-1.24,-0.45,0.12
1978,-1.20,-0.73,-0.25,-1.29,-1.95,-1.04,-0.13,-2.53,1.17,0.58,-0.22,-0.22,-0.39,-1.78,-1.52,-0.30,-2.03,0.40,-0.90,-0.69,-2.66,-0.21,-1.04,-0.17,-0.06
1979,-2.92,-2.54,-1.83,-3.06,-3.59,-2.83,-1.84,-4.34,-0.60,-1.20,-1.96,-1.96,-1.93,-3.42,-3.32,-2.08,-3.84,-1.28,-2.51,-2.28,-4.47,-1.77,-2.75,-1.72,-1.80
1980,-1.22,-0.79,-0.26,-1.28,-1.96,-1.09,-0.20,-2.46,1.15,0.54,-0.26,-0.26,-0.39,-1.80,-1.53,-0.38,-2.00,0.34,-0.88,-0.70,-2.67,-0.33,-1.03,-0.28,-0.12
1981,-2.46,-1.91,-1.89,-2.66,-3.05,-2.30,-1.62,-3.82,0.03,-0.58,-1.56,-1.56,-2.07,-2.87,-2.73,-1.50,-3.35,-1.05,-2.46,-1.78,-3.88,-1.93,-2.44,-1.89,-1.24
1982,-1.58,-1.15,-0.91,-1.78,-2.23,-1.53,-0.74,-2.86,0.72,0.17,-0.78,-0.78,-1.10,-1.86,-1.74,-0.75,-2.43,-0.16,-1.52,-0.78,-2.94,-0.88,-1.56,-0.84,-0.55
1983,-2.16,-1.60,-1.42,-2.27,-2.89,-2.01,-1.25,-3.47,0.30,-0.30,-1.26,-1.26,-1.58,-2.62,-2.45,-1.22,-2.96,-0.71,-2.00,-1.53,-3.67,-1.48,-2.06,-1.43,-1.02
1984,-0.90,-0.73,-0.23,-1.15,-1.56,-1.10,-0.22,-2.01,1.05,0.53,-0.34,-0.34,-0.34,-0.91,-0.74,-0.35,-1.68,0.23,-0.86,0.19,-2.10,-0.30,-1.00,-0.23,-0.14
1985,-1.41,-0.83,-0.33,-1.54,-2.15,-1.17,-0.31,-2.86,1.15,0.53,-0.36,-0.36,-0.43,-2.04,-1.89,-0.44,-2.34,0.26,-1.02,-0.89,-3.06,-0.31,-1.23,-0.25,-0.22
