Variable:,pr
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1975,227.61,299.45,201.31,165.56,416.14,423.71,295.45,161.98,160.88,215.52,122.56,322.30,107.00,360.86,134.66,488.20,217.20,450.58,227.26,314.57,338.79,237.52,229.06
1976,247.37,378.60,269.77,210.67,470.52,378.35,246.36,206.34,185.50,254.42,153.82,273.20,148.70,359.30,132.29,499.58,277.27,411.17,225.09,315.95,303.66,310.47,286.64
1977,221.90,278.75,215.32,175.81,339.03,259.16,301.35,175.51,202.40,221.14,117.70,288.98,119.59,300.96,183.99,330.65,276.73,292.16,226.53,258.39,250.74,232.80,200.31
1978,184.76,242.19,195.27,134.89,364.14,325.89,260.31,123.62,110.42,172.48,108.28,257.16,107.24,306.64,86.96,399.84,154.51,358.61,196.46,235.47,243.54,206.42,166.68
1979,223.60,264.75,248.77,186.00,340.39,280.77,291.69,177.39,145.98,197.04,181.84,265.99,155.18,316.51,160.91,346.98,185.59,303.79,220.29,243.45,243.60,256.73,242.68
1980,180.97,216.16,238.42,134.59,286.28,249.03,251.69,110.17,127.59,162.99,109.13,253.31,112.63,276.59,110.01,295.06,180.87,277.12,179.13,215.01,215.91,229.12,181.91
1981,209.67,311.07,252.86,173.39,370.70,319.05,237.42,166.94,133.89,171.14,122.50,249.05,132.18,317.17,128.25,377.75,214.62,342.68,205.97,247.43,249.62,257.23,222.78
1982,203.32,292.51,213.94,152.02,409.48,371.31,257.86,119.34,144.77,193.63,113.84,256.67,108.79,329.77,86.36,444.09,199.52,401.95,183.64,285.56,278.62,278.16,209.82
1983,225.47,287.22,309.75,143.50,354.71,328.32,301.37,156.57,185.57,229.22,114.55,303.60,153.39,343.77,128.25,350.51,225.76,348.48,218.86,282.45,288.62,299.58,239.82
1984,250.66,320.95,373.54,162.47,430.30,393.15,341.75,170.23,157.05,240.00,152.12,336.64,199.30,386.83,110.57,447.88,202.08,417.39,222.94,313.93,326.45,355.00,276.97
