Variable:,tasmin
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1970,7.94,8.47,11.63,2.91,15.45,4.00,10.86,14.98,12.02,16.60,2.07,7.23,8.65,4.68,14.61,2.88,5.00,9.36,3.87,9.44,2.77,12.65,14.17,1.47,10.72
1971,7.41,8.32,11.39,2.19,14.66,3.39,10.21,14.26,11.38,15.82,1.40,7.13,7.93,4.43,13.89,2.53,4.67,8.62,3.49,9.11,2.00,11.94,13.33,0.82,9.88
1972,7.93,8.92,12.00,2.85,15.36,3.45,10.85,15.17,12.31,16.57,1.97,7.59,8.69,4.84,14.89,2.95,4.97,9.24,3.98,9.48,2.16,12.82,14.12,1.03,10.65
1973,7.82,8.69,11.84,2.79,15.36,3.61,10.44,14.98,11.97,16.59,2.23,7.36,8.56,4.64,14.77,2.78,4.82,9.34,3.77,9.11,2.34,12.51,13.94,0.84,10.61
1974,7.60,8.53,11.70,2.52,14.91,3.45,10.37,14.46,11.59,16.03,1.99,7.12,8.21,4.56,14.00,2.68,4.61,9.06,3.51,9.04,2.35,12.18,13.63,1.46,10.32
1975,7.90,8.99,12.10,2.58,15.28,3.85,10.66,14.82,11.96,16.41,1.85,7.70,8.33,4.69,14.41,2.97,5.11,9.14,3.62,9.37,2.53,12.50,13.92,1.27,10.43
1976,7.37,8.25,11.49,2.15,14.48,3.36,10.07,14.15,11.70,15.61,1.34,7.05,7.85,4.35,13.60,2.74,4.70,8.58,3.22,8.81,2.19,11.96,13.25,0.74,9.92
1977,8.45,9.30,12.53,3.17,16.09,4.36,11.18,15.88,12.79,17.25,2.20,8.05,9.01,5.55,15.72,3.84,5.74,9.50,4.40,10.02,2.60,13.21,14.38,1.24,10.90
1978,8.25,9.27,12.31,2.95,15.31,4.47,10.82,14.89,12.24,16.55,2.10,8.06,8.74,5.32,14.59,3.59,5.67,9.34,4.06,9.73,3.12,12.58,13.96,1.90,10.66
1979,8.03,8.90,11.93,2.45,15.40,4.37,10.33,14.87,12.04,16.59,1.81,7.83,8.11,5.09,14.53,3.39,5.60,9.12,3.77,9.33,3.10,12.36,13.73,1.69,10.34
