Variable:,tasmin
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
1948,2.73,2.55,1.73,1.77,3.20,2.31,2.05,3.37,1.97,2.26,3.37,1.85,3.99,4.32,2.89,1.76,2.15,2.86,2.09,1.92,3.21,3.63,3.62,3.36,2.12,2.61,4.06
1949,3.71,3.49,2.78,2.79,4.15,3.32,2.89,4.35,2.96,3.16,4.34,2.67,5.01,5.32,3.95,2.64,3.11,3.83,2.98,2.82,4.21,4.61,4.68,4.38,3.14,3.63,5.14
1950,2.35,2.10,1.34,1.38,2.75,1.87,1.61,3.01,1.52,1.81,2.96,1.44,3.78,4.13,2.49,1.33,1.67,2.38,1.65,1.49,2.77,3.31,3.41,3.03,1.66,2.15,3.96
1951,1.95,1.74,0.91,0.98,2.40,1.46,1.21,2.64,1.10,1.44,2.60,1.02,3.40,3.73,2.04,0.93,1.27,2.00,1.27,1.11,2.37,2.96,2.99,2.65,1.24,1.71,3.55
1952,1.47,1.23,0.56,0.64,1.87,1.00,0.81,2.01,0.72,0.97,2.04,0.68,2.78,3.10,1.55,0.58,0.85,1.47,0.88,0.76,1.84,2.29,2.42,2.03,0.86,1.25,2.99
1953,2.39,2.09,1.39,1.37,2.77,1.93,1.52,3.03,1.56,1.74,2.98,1.33,3.94,4.25,2.63,1.25,1.66,2.41,1.60,1.43,2.83,3.36,3.59,3.10,1.79,2.31,4.19
1954,2.02,1.79,1.13,1.17,2.39,1.60,1.32,2.60,1.27,1.51,2.53,1.14,3.27,3.59,2.23,1.05,1.43,2.06,1.40,1.25,2.45,2.85,3.01,2.64,1.44,1.88,3.53
1955,1.46,1.24,0.43,0.52,1.88,0.97,0.81,2.10,0.66,0.99,2.04,0.66,2.84,3.20,1.50,0.55,0.82,1.47,0.86,0.71,1.84,2.40,2.42,2.09,0.73,1.15,3.02
1956,0.50,0.27,-0.52,-0.47,0.93,0.02,-0.24,1.14,-0.33,-0.05,1.07,-0.41,1.90,2.25,0.62,-0.51,-0.17,0.54,-0.18,-0.33,0.91,1.44,1.56,1.18,-0.18,0.26,2.09
1957,2.91,2.78,2.10,2.20,3.36,2.49,2.37,3.43,2.24,2.53,3.46,2.24,3.93,4.30,2.99,2.16,2.40,2.98,2.45,2.32,3.32,3.62,3.57,3.37,2.34,2.70,4.04
1958,1.68,1.53,0.64,0.81,2.16,1.16,1.18,2.30,0.86,1.29,2.26,1.05,2.96,3.32,1.58,0.91,1.10,1.73,1.19,1.06,2.04,2.59,2.48,2.25,0.92,1.26,3.03
1959,2.71,2.50,1.70,1.73,3.13,2.24,1.99,3.34,1.86,2.19,3.31,1.84,4.11,4.44,2.86,1.71,2.02,2.75,2.01,1.89,3.12,3.62,3.73,3.34,2.15,2.58,4.32
1960,1.90,1.70,0.87,0.99,2.33,1.35,1.37,2.52,1.07,1.48,2.43,1.26,3.17,3.53,1.86,1.09,1.30,1.92,1.39,1.27,2.25,2.79,2.78,2.48,1.19,1.53,3.35
1961,3.39,3.18,2.56,2.62,3.80,2.95,2.71,3.93,2.68,2.90,3.95,2.57,4.55,4.88,3.57,2.53,2.83,3.43,2.77,2.70,3.80,4.13,4.22,3.90,2.91,3.26,4.78
1962,1.71,1.52,0.87,0.98,2.08,1.25,1.21,2.21,1.01,1.30,2.22,1.07,2.80,3.14,1.73,0.99,1.19,1.74,1.27,1.15,2.06,2.42,2.46,2.18,1.11,1.40,3.00
1963,0.41,0.11,-0.70,-0.66,0.82,-0.16,-0.26,1.17,-0.53,-0.12,1.03,-0.52,1.93,2.28,0.51,-0.63,-0.31,0.35,-0.28,-0.45,0.78,1.51,1.53,1.18,-0.27,0.16,2.11
1964,1.61,1.29,0.74,0.79,1.93,1.08,0.92,2.14,0.85,1.05,2.10,0.77,2.92,3.24,1.78,0.74,1.01,1.56,1.00,0.91,1.95,2.44,2.60,2.18,1.08,1.47,3.14
1965,1.04,0.74,0.06,0.07,1.39,0.51,0.34,1.65,0.19,0.49,1.58,0.11,2.50,2.81,1.23,0.01,0.35,1.01,0.36,0.21,1.38,2.00,2.14,1.70,0.50,0.95,2.68
