Variable:,tasmax
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
2002,13.63,20.64,16.74,20.02,22.99,12.59,25.46,24.33,19.61,28.11,16.01,8.03,20.45,20.49,20.92,19.88,22.52,10.99,13.95,11.43,14.26,5.32,16.75,18.97,20.24,15.48,15.18,18.54,13.66,4.98,21.02,20.77
2003,13.25,19.93,15.47,19.39,23.53,12.15,25.78,24.84,19.62,28.43,14.72,8.26,19.00,19.72,20.99,19.02,22.90,11.16,13.59,10.76,13.74,5.42,15.65,17.61,20.06,13.99,15.05,17.38,12.67,5.04,21.08,21.00
2004,13.64,21.00,16.75,19.65,23.29,12.41,25.56,24.42,19.36,27.93,15.98,8.10,20.39,20.62,21.20,20.16,22.99,11.43,14.19,11.51,14.20,5.17,16.47,18.83,20.66,15.36,14.50,18.53,13.76,5.16,20.52,21.12
2005,13.13,20.16,16.20,19.36,22.43,12.06,24.82,23.95,19.15,27.66,15.46,7.25,19.72,19.92,20.43,19.45,22.02,10.00,12.99,10.78,13.92,4.93,16.12,18.19,20.09,15.10,14.74,17.97,12.94,5.00,21.06,20.35
2006,13.79,20.83,16.64,20.36,22.97,12.81,25.41,24.61,19.87,28.09,15.94,7.43,20.50,20.81,21.18,19.99,22.66,10.61,13.58,11.20,14.53,5.83,16.85,18.70,20.52,15.59,15.48,18.36,13.82,5.67,21.35,20.95
2007,14.06,21.06,17.19,20.01,23.32,12.53,25.49,24.52,19.60,27.81,16.33,8.97,20.46,20.79,21.34,20.23,23.05,11.66,14.36,12.13,14.01,5.61,16.60,18.91,20.82,15.60,15.07,18.74,14.32,5.85,20.76,21.29
2008,13.40,20.32,16.42,19.46,22.79,12.09,24.79,23.65,18.89,26.98,15.64,8.74,19.92,20.20,20.71,19.47,22.43,11.57,13.99,11.38,13.78,4.70,16.20,18.22,20.10,15.11,14.49,18.16,13.64,4.89,20.36,20.56
2009,13.63,20.45,16.62,19.77,23.13,12.60,25.44,24.59,19.79,27.79,15.78,7.00,19.88,20.23,21.10,19.66,22.75,10.28,13.52,10.92,14.08,5.53,16.25,18.45,20.19,15.25,15.28,18.30,13.63,6.03,21.62,20.75
2010,13.28,20.11,15.55,19.66,22.49,12.47,24.87,24.22,19.62,27.67,14.94,6.73,19.71,20.05,20.67,19.33,22.16,9.41,12.28,10.14,13.99,5.80,16.24,17.89,19.96,14.80,15.18,17.50,13.14,5.90,21.51,20.36
2011,13.12,19.86,15.88,19.42,22.38,12.13,24.52,23.48,19.03,26.68,15.12,7.53,19.23,19.83,20.37,19.11,21.98,10.27,12.92,10.66,13.31,5.20,15.65,17.69,19.70,14.39,14.84,17.78,13.17,5.16,20.63,20.14
2012,12.72,19.64,15.38,18.81,22.10,11.65,24.48,23.33,18.56,27.31,14.73,6.74,19.16,19.42,19.71,18.87,21.52,9.54,12.52,9.82,13.28,4.48,15.63,17.61,19.47,14.30,14.56,17.45,12.72,4.96,21.28,19.84
2013,13.57,20.82,16.00,20.55,23.02,12.87,24.93,24.07,19.84,27.29,15.28,6.77,20.22,20.89,21.24,19.88,22.73,9.81,12.78,10.86,14.47,5.56,16.93,18.15,20.55,15.35,15.40,17.79,13.97,5.16,21.30,21.00
2014,13.47,20.44,17.25,19.22,23.12,12.26,25.42,24.25,19.27,27.91,16.30,7.95,19.79,19.93,20.57,19.79,22.54,11.41,14.51,11.78,13.94,4.95,16.09,18.77,20.21,15.53,14.83,18.77,12.89,5.09,21.40,20.78
2015,13.66,20.21,16.82,19.60,22.75,12.65,25.48,24.52,19.50,28.53,15.93,8.24,19.70,19.97,20.56,19.63,22.12,11.35,14.22,11.56,14.15,5.33,16.27,18.56,20.20,15.28,15.09,18.49,13.77,5.28,21.22,20.46
2016,13.72,20.67,16.61,19.81,23.19,12.72,25.50,24.54,19.69,28.19,15.89,7.24,20.20,20.38,20.98,20.08,22.65,10.70,14.06,10.97,14.36,5.70,16.38,19.03,20.61,15.29,15.18,18.63,13.98,5.80,21.11,20.93
2017,13.92,20.99,17.38,19.64,23.47,12.82,25.72,24.35,19.43,27.93,16.61,8.31,20.53,20.55,21.10,20.35,22.94,11.50,14.51,11.96,14.56,5.59,16.52,19.39,20.74,15.87,14.97,19.24,13.95,5.58,20.89,21.14
2018,13.55,20.79,16.73,19.68,23.36,12.19,25.70,24.38,19.47,28.01,16.02,8.12,20.35,20.49,21.07,20.04,22.87,11.05,13.94,11.43,14.04,4.91,16.30,18.96,20.51,15.44,14.81,18.62,13.42,5.13,20.84,20.93
2019,13.86,21.01,17.25,19.66,23.54,12.35,26.08,24.96,19.90,28.83,16.55,8.62,20.61,20.47,21.14,20.40,22.99,12.02,14.90,11.81,14.18,4.94,16.39,19.54,20.69,15.79,14.97,19.26,13.88,4.99,21.87,21.12
2020,13.71,20.73,16.56,19.43,23.59,12.40,25.96,24.63,19.48,28.51,15.94,8.44,20.15,20.20,20.91,20.08,22.92,11.43,14.25,11.51,14.07,5.17,16.15,19.04,20.61,15.29,14.82,18.70,13.90,5.11,21.30,21.13
