Variable:,tasmin
,Estonia,"Harju maakond","Hiiu maakond","Ida-Viru maakond","Järva maakond","Jõgeva maakond","Lääne-Viru maakond","Lääne maakond","Pärnu maakond","Põlva maakond","Rapla maakond","Saare maakond","Tartu maakond","Valga maakond","Viljandi maakond","Võru maakond","Administrative unit not available"
1995,2.46,2.62,3.72,1.98,2.36,1.96,1.92,3.27,3.03,1.82,2.90,3.89,1.91,2.21,2.43,1.79,2.12
1996,0.86,1.08,2.28,0.41,0.74,0.37,0.35,1.74,1.38,0.18,1.30,2.39,0.27,0.55,0.78,0.17,0.50
1997,2.08,2.28,3.60,1.47,1.95,1.52,1.41,2.99,2.73,1.35,2.57,3.75,1.44,1.83,2.12,1.38,1.65
1998,1.78,1.90,3.25,1.06,1.59,1.17,1.02,2.70,2.48,1.17,2.27,3.50,1.18,1.62,1.79,1.24,1.36
1999,2.55,2.69,3.99,1.92,2.38,1.97,1.84,3.42,3.18,1.96,3.03,4.19,1.97,2.38,2.53,2.00,2.13
2000,3.49,3.65,4.80,2.95,3.38,3.00,2.86,4.34,4.09,2.85,3.95,4.93,2.93,3.27,3.52,2.86,3.15
2001,2.37,2.46,3.70,1.80,2.24,1.85,1.72,3.19,2.98,1.78,2.80,3.95,1.84,2.18,2.39,1.80,2.01
2002,2.32,2.43,3.73,1.67,2.18,1.78,1.58,3.16,2.98,1.71,2.77,4.05,1.76,2.12,2.31,1.71,1.92
2003,2.07,2.13,3.34,1.53,1.91,1.59,1.41,2.80,2.62,1.55,2.44,3.60,1.59,1.91,2.07,1.55,1.77
2004,2.32,2.46,3.65,1.78,2.19,1.80,1.73,3.11,2.90,1.73,2.75,3.88,1.79,2.13,2.27,1.72,1.96
2005,2.26,2.42,3.51,1.88,2.16,1.82,1.77,3.01,2.77,1.61,2.65,3.65,1.72,1.96,2.20,1.55,1.97
2006,2.64,2.77,3.94,2.06,2.55,2.12,2.01,3.47,3.26,1.95,3.09,4.20,2.08,2.38,2.68,1.90,2.26
2007,2.94,3.06,4.14,2.49,2.82,2.40,2.42,3.71,3.55,2.27,3.36,4.38,2.35,2.72,2.92,2.28,2.56
2008,3.90,4.01,5.05,3.41,3.80,3.45,3.33,4.61,4.47,3.26,4.30,5.24,3.40,3.72,3.94,3.22,3.58
2009,2.53,2.61,3.75,1.95,2.39,2.08,1.86,3.26,3.10,1.95,2.92,4.00,2.06,2.39,2.57,1.94,2.24
2010,1.14,1.21,2.34,0.56,0.99,0.73,0.50,1.86,1.68,0.63,1.52,2.54,0.69,1.01,1.14,0.67,0.89
2011,3.13,3.33,4.38,2.67,3.05,2.71,2.59,3.89,3.69,2.44,3.58,4.47,2.55,2.85,3.11,2.42,2.82
2012,2.03,2.15,3.34,1.46,1.90,1.53,1.41,2.85,2.64,1.38,2.47,3.53,1.49,1.82,2.05,1.37,1.68
2013,2.99,3.13,4.06,2.57,2.91,2.58,2.49,3.63,3.48,2.41,3.36,4.23,2.52,2.75,3.00,2.33,2.74
2014,3.30,3.47,4.45,2.94,3.21,2.85,2.80,4.00,3.79,2.66,3.68,4.68,2.78,3.05,3.30,2.61,3.06
2015,3.80,3.97,5.01,3.41,3.72,3.34,3.28,4.56,4.35,3.13,4.22,5.19,3.21,3.53,3.80,3.14,3.47
2016,3.03,3.15,4.24,2.59,2.92,2.55,2.47,3.80,3.61,2.36,3.43,4.49,2.44,2.80,3.01,2.40,2.71
2017,2.98,3.12,4.18,2.50,2.87,2.48,2.42,3.73,3.53,2.40,3.36,4.43,2.47,2.78,2.99,2.40,2.66
2018,3.21,3.34,4.47,2.68,3.06,2.68,2.58,4.00,3.81,2.59,3.62,4.71,2.67,3.04,3.21,2.59,2.87
2019,3.47,3.47,4.70,2.83,3.31,2.94,2.76,4.21,4.12,2.96,3.84,5.02,2.98,3.38,3.56,3.01,3.14
2020,4.70,4.86,5.90,4.30,4.59,4.27,4.15,5.47,5.24,4.04,5.12,6.11,4.19,4.40,4.66,3.98,4.42
