Variable:,tasmin
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1970,13.34,13.69,4.83,0.61,3.96,2.89,8.35,5.13,6.99,0.55,10.79,11.73,8.63,8.53,15.65,4.49,21.03,18.88,3.83,11.55,14.98,3.47,16.13,6.41,16.87,19.95
1971,12.99,13.32,4.60,0.31,3.55,2.55,8.08,4.57,6.65,0.24,10.57,11.39,8.42,8.28,15.45,4.28,20.66,18.45,3.30,11.34,14.72,2.93,15.82,5.84,16.53,19.69
1972,13.93,14.76,6.11,1.19,4.54,3.53,9.70,5.48,7.32,1.34,11.74,12.56,9.42,9.88,17.30,5.63,21.38,18.90,4.14,12.37,16.52,3.52,17.08,6.75,18.24,20.37
1973,13.18,13.44,4.74,0.61,3.99,2.97,8.16,5.32,6.89,0.61,10.66,11.84,8.66,8.35,15.52,4.57,20.69,18.65,3.91,11.47,14.86,3.45,15.87,6.58,16.69,19.77
1974,12.59,13.02,4.31,-0.03,3.34,2.29,7.76,4.72,6.27,-0.13,10.11,11.17,7.99,7.95,15.18,3.96,20.08,18.09,3.11,10.87,14.54,2.71,15.33,5.89,16.38,19.17
1975,12.63,13.03,4.29,-0.01,3.22,2.29,7.76,4.52,6.38,-0.09,10.17,11.10,8.11,7.95,15.17,4.00,20.14,18.27,2.87,11.04,14.51,2.63,15.36,5.54,16.35,19.36
1976,13.06,13.76,5.32,0.50,3.61,2.88,8.73,4.69,6.66,0.54,10.89,11.87,8.76,8.97,16.36,4.98,20.35,18.25,3.06,11.66,15.63,2.68,15.99,5.67,17.38,19.65
1977,13.20,13.84,5.27,0.58,3.71,2.97,8.68,4.80,6.77,0.71,10.96,11.99,8.91,8.91,16.20,5.00,20.61,18.42,3.16,11.81,15.53,2.78,16.11,5.81,17.36,19.85
1978,13.18,13.93,5.08,0.40,3.67,2.81,8.67,4.67,6.65,0.53,10.84,11.77,8.77,8.83,16.06,4.77,20.75,18.30,3.14,11.69,15.40,2.76,16.18,5.80,17.24,19.83
1979,13.42,14.26,5.41,0.62,3.74,3.02,9.02,4.68,6.83,0.79,11.20,12.04,9.05,9.18,16.35,5.08,21.04,18.47,3.09,12.04,15.62,2.73,16.52,5.69,17.47,20.14
1980,13.50,14.29,5.45,0.73,3.87,3.17,9.04,4.83,6.91,0.94,11.25,12.22,9.14,9.22,16.37,5.16,21.14,18.53,3.18,12.09,15.56,2.83,16.57,5.77,17.31,20.18
1981,13.15,13.96,5.06,0.26,3.41,2.65,8.54,4.52,6.42,0.35,10.87,11.65,8.61,8.72,15.83,4.65,21.00,18.09,2.91,11.64,15.31,2.45,16.19,5.57,17.20,19.77
1982,13.56,14.55,5.53,0.68,3.91,3.03,9.26,5.02,6.81,0.70,11.26,12.01,8.96,9.32,16.72,5.09,21.29,18.45,3.45,11.99,16.17,3.00,16.64,6.05,18.09,20.02
1983,14.22,15.17,6.33,1.51,4.80,3.93,9.94,5.81,7.54,1.58,12.06,12.94,9.81,10.02,17.44,5.99,21.74,19.05,4.16,12.82,16.78,3.63,17.27,6.77,18.57,20.74
1984,13.32,14.01,5.19,0.42,3.86,2.77,8.68,5.21,6.66,0.44,10.99,11.71,8.68,8.85,16.05,4.74,20.98,18.45,3.65,11.66,15.44,3.23,16.28,6.30,17.29,19.85
1985,13.09,13.65,4.75,0.27,3.72,2.51,8.27,5.06,6.62,0.10,10.61,11.40,8.41,8.44,15.60,4.42,20.74,18.51,3.55,11.37,15.02,3.18,15.91,6.22,16.87,19.66
1986,13.22,13.92,5.05,0.29,3.58,2.61,8.58,4.93,6.62,0.32,10.89,11.56,8.63,8.73,15.98,4.66,20.92,18.49,3.24,11.63,15.39,2.97,16.17,5.85,17.27,19.83
1987,13.98,14.57,6.04,1.42,4.76,3.76,9.48,5.97,7.66,1.42,11.73,12.71,9.61,9.70,17.01,5.75,21.21,19.36,4.34,12.53,16.33,3.95,16.84,6.98,18.10,20.57
1988,13.36,13.73,5.03,0.57,3.84,2.93,8.35,5.16,7.03,0.66,10.98,11.84,8.90,8.59,15.65,4.77,20.95,18.97,3.51,11.82,15.06,3.29,16.11,6.17,16.99,20.16
1989,13.09,13.56,4.86,0.38,3.80,2.74,8.26,4.88,6.64,0.39,10.73,11.65,8.62,8.48,15.62,4.63,20.69,18.31,3.40,11.55,15.01,2.91,15.91,6.01,16.87,19.69
1990,13.40,14.05,5.24,0.61,4.00,3.00,8.72,5.00,6.84,0.67,11.02,11.94,8.86,8.94,16.09,4.89,21.03,18.54,3.58,11.82,15.61,3.14,16.33,6.16,17.50,19.94
