Variable:,tasmin
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1976,-3.11,3.13,-3.21,-2.29,3.30,2.89,-4.33,1.33,2.25,2.18,-7.49,-0.22,1.37,3.51,1.21,1.73,1.07,-0.73,-5.49,-3.93,0.01,1.78
1977,-2.53,3.72,-2.65,-1.66,4.05,3.40,-3.84,1.91,2.85,2.77,-6.86,0.37,1.96,4.12,1.75,2.32,1.71,-0.22,-4.92,-3.29,0.60,2.25
1978,-3.29,3.25,-3.39,-2.48,3.64,3.02,-4.65,1.53,2.43,2.35,-7.76,-0.29,1.47,3.60,1.16,1.68,0.97,-0.85,-5.92,-4.31,-0.09,1.86
1979,-2.94,2.58,-3.51,-2.35,3.31,2.29,-4.23,0.89,1.91,1.71,-6.51,-0.62,1.05,2.99,1.00,1.70,1.04,-1.34,-4.89,-3.67,-0.26,1.16
1980,-3.25,2.77,-3.46,-2.42,3.42,2.55,-4.36,1.00,1.97,1.86,-7.45,-0.65,1.01,3.21,0.95,1.70,1.03,-1.24,-5.58,-4.05,-0.28,1.39
1981,-3.39,3.00,-3.52,-2.46,3.70,2.71,-4.65,1.21,2.20,2.07,-7.86,-0.56,1.21,3.48,1.08,1.78,1.06,-1.15,-5.84,-4.20,-0.22,1.47
1982,-2.02,3.58,-2.36,-1.33,4.29,3.32,-3.19,1.88,2.85,2.68,-5.86,0.45,2.02,3.99,1.93,2.62,2.03,-0.07,-4.08,-2.78,0.79,2.31
1983,-1.75,4.19,-1.71,-0.76,4.91,3.84,-2.77,2.47,3.45,3.26,-6.19,1.03,2.62,4.55,2.49,3.17,2.54,0.60,-4.04,-2.35,1.34,2.87
1984,-1.46,4.08,-1.60,-0.53,4.95,3.91,-2.58,2.58,3.51,3.27,-5.62,1.31,2.86,4.41,2.78,3.47,2.87,0.69,-3.66,-2.12,1.64,2.99
1985,-4.22,2.00,-4.48,-3.62,2.62,1.68,-5.29,0.24,1.25,1.09,-8.41,-1.50,0.30,2.48,0.07,0.70,-0.07,-2.01,-6.71,-5.29,-1.25,0.53
1986,-2.78,2.72,-2.97,-1.93,3.64,2.31,-3.85,1.01,2.10,1.81,-6.67,-0.23,1.34,3.08,1.38,2.11,1.44,-0.82,-4.94,-3.48,0.19,1.33
1987,-3.52,2.00,-3.91,-2.91,2.54,1.74,-4.33,0.25,1.22,1.09,-7.31,-1.31,0.32,2.51,0.24,0.99,0.32,-1.74,-5.57,-4.23,-1.00,0.54
1988,-1.80,4.01,-1.77,-0.76,4.61,3.80,-2.70,2.36,3.25,3.12,-6.31,0.89,2.44,4.47,2.36,3.09,2.48,0.50,-4.00,-2.27,1.19,2.78
1989,-0.47,5.11,-0.66,0.44,5.80,4.68,-1.64,3.38,4.41,4.17,-4.43,2.12,3.66,5.38,3.59,4.29,3.68,1.55,-2.57,-0.99,2.46,3.74
1990,-0.31,5.42,-0.52,0.51,6.00,4.98,-1.43,3.64,4.68,4.46,-4.32,2.29,3.90,5.69,3.78,4.44,3.80,1.72,-2.43,-0.98,2.60,3.97
1991,-1.30,4.18,-1.42,-0.29,5.10,3.80,-2.32,2.53,3.57,3.27,-5.44,1.32,2.85,4.44,2.89,3.60,2.99,0.74,-3.32,-1.75,1.74,2.89
1992,-0.89,4.59,-0.99,0.14,5.42,4.22,-2.09,2.85,3.88,3.65,-4.86,1.75,3.20,4.97,3.27,4.02,3.44,1.18,-3.02,-1.47,2.17,3.28
1993,-1.86,3.66,-2.13,-0.86,4.68,3.21,-2.99,1.92,3.03,2.72,-5.84,0.64,2.24,3.96,2.29,3.08,2.47,-0.04,-3.84,-2.30,1.08,2.14
1994,-2.18,4.28,-2.44,-1.39,4.78,3.97,-3.70,2.47,3.41,3.34,-6.44,0.76,2.52,4.77,2.34,3.00,2.23,0.02,-4.68,-3.16,1.05,2.67
1995,-1.75,3.98,-1.95,-0.80,4.79,3.61,-2.88,2.19,3.26,3.03,-5.94,0.83,2.46,4.36,2.43,3.19,2.56,0.25,-3.79,-2.18,1.22,2.56
1996,-2.65,2.62,-3.18,-2.00,3.43,2.30,-3.87,0.93,1.98,1.73,-6.20,-0.33,1.24,3.00,1.26,1.99,1.36,-1.05,-4.45,-3.34,0.06,1.32
1997,-1.35,3.92,-1.37,-0.25,4.89,3.55,-2.22,2.22,3.30,2.98,-5.48,1.12,2.60,4.30,2.65,3.41,2.88,0.65,-3.27,-1.67,1.56,2.70
1998,-1.72,3.98,-1.50,-0.47,4.72,3.74,-2.47,2.32,3.27,3.11,-6.37,1.07,2.57,4.50,2.46,3.18,2.64,0.63,-3.97,-2.11,1.40,2.78
1999,-1.29,4.46,-1.22,-0.14,5.32,4.10,-2.29,2.73,3.80,3.54,-5.66,1.50,3.07,4.87,3.07,3.80,3.19,0.93,-3.58,-1.87,1.91,3.11
