Variable:,pr
,Spain,Andalucía,Aragón,"Principado de Asturias","Illes Balears",Canarias,Cantabria,"Castilla y León","Castilla-La Mancha",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Comunitat Valenciana",Extremadura,Galicia,"Comunidad de Madrid","Ciudad Autónoma de Melilla","Región de Murcia","Comunidad Foral de Navarra","País Vasco/Euskadi","La Rioja"
1973,495.53,386.71,466.40,880.59,553.52,234.79,932.25,533.61,368.39,507.79,389.60,347.55,393.06,1015.42,400.01,510.10,320.35,703.33,928.68,594.71
1974,554.87,365.52,627.43,941.27,580.18,237.99,1005.73,553.45,410.78,665.42,350.00,479.76,372.92,1193.81,385.64,377.30,395.68,906.11,1107.20,729.05
1975,597.36,477.93,638.70,948.33,653.32,218.83,1043.29,572.41,477.32,723.27,496.60,519.63,478.53,1090.82,469.18,460.00,396.64,827.42,1058.07,688.02
1976,671.57,660.25,584.16,958.52,592.92,303.58,974.37,646.60,558.78,728.00,737.20,457.12,634.95,1232.11,586.46,563.00,441.14,817.28,1036.36,676.71
1977,735.82,521.89,754.30,1215.34,689.71,327.31,1154.74,760.64,531.59,926.55,496.70,535.42,662.33,1613.23,575.56,361.70,401.16,963.57,1161.55,823.05
1978,633.16,476.83,451.54,1169.06,565.46,318.37,1085.11,731.43,467.83,542.23,496.50,282.80,646.81,1625.97,573.32,343.70,276.70,770.72,1029.50,661.50
1979,723.83,570.47,634.17,1281.30,638.51,474.12,1303.00,761.55,517.99,746.43,535.00,400.88,669.94,1667.13,544.41,445.70,351.37,1028.04,1351.85,873.52
1980,535.14,423.24,509.30,924.82,559.24,394.75,1026.30,539.16,417.33,542.60,429.30,424.77,388.08,1092.78,400.97,415.20,392.09,819.93,1063.06,702.92
1981,521.10,344.95,550.02,854.14,467.02,326.70,879.59,543.28,391.64,632.39,369.30,350.80,424.92,1173.06,433.22,250.00,268.83,732.70,925.86,614.02
1982,570.66,415.91,679.79,867.93,600.86,351.44,905.00,520.16,424.84,858.43,448.90,526.69,406.48,1093.32,414.75,323.50,378.00,823.69,1000.97,661.44
1983,515.38,417.84,482.33,935.06,400.11,195.04,899.23,539.05,312.47,562.84,359.80,293.10,510.12,1238.04,334.48,176.30,247.25,722.95,923.37,594.60
1984,634.73,441.37,580.58,1121.30,573.87,432.64,1108.78,688.78,469.64,688.17,399.40,364.33,572.02,1486.46,517.74,259.50,296.95,877.19,1122.77,751.77
1985,539.53,444.95,483.94,925.47,554.31,347.14,872.68,545.80,373.28,530.14,426.70,362.04,540.29,1278.18,379.38,260.10,312.14,685.04,867.24,579.81
1986,535.38,419.00,526.21,887.84,562.65,395.55,889.72,512.55,423.07,530.40,404.10,440.28,428.23,1199.48,411.68,409.00,376.71,749.87,951.75,625.01
1987,679.82,612.92,620.80,1004.32,700.24,400.17,945.91,663.20,531.09,758.92,589.60,461.87,663.57,1404.70,570.17,278.50,398.64,797.91,961.76,667.70
1988,590.43,455.47,603.59,907.53,488.90,461.82,897.82,607.29,461.82,672.82,445.80,395.38,529.86,1172.57,484.04,278.50,350.76,819.26,977.31,691.92
1989,711.17,739.88,577.66,990.46,584.50,569.58,875.46,690.49,575.54,649.57,769.10,626.83,747.60,1333.10,584.67,391.60,577.37,675.47,825.26,573.08
1990,501.16,395.08,508.12,829.64,585.90,383.61,857.72,501.58,343.64,624.48,456.80,379.60,406.93,1024.62,351.49,398.60,328.64,725.16,918.91,619.70
1991,534.88,473.91,561.00,780.41,725.49,289.01,832.00,471.24,399.84,675.29,561.80,455.36,428.52,1068.65,368.30,341.60,356.44,745.64,929.66,622.05
1992,537.13,398.51,592.18,882.48,510.58,182.60,1004.45,534.66,389.11,774.16,360.10,404.03,407.59,974.57,381.27,382.00,334.89,832.83,1050.67,688.95
