Variable:,tasmax
,Canada,Alberta,"British Columbia / Colombie-Britannique",Manitoba,"New Brunswick / Nouveau-Brunswick","Newfoundland and Labrador / Terre-Neuve-et-Labrador","Northwest Territories / Territoires du Nord-Ouest","Nova Scotia / Nouvelle-Écosse",Nunavut,Ontario,"Prince Edward Island / Île-du-Prince-Édouard","Quebec / Québec",Saskatchewan,Yukon
1999,1.26,8.19,6.76,5.27,11.34,4.92,-3.18,12.63,-9.75,8.08,11.87,4.17,7.21,-1.16
2000,0.38,6.86,6.23,3.57,9.53,3.84,-3.68,11.10,-10.02,6.54,10.14,2.73,5.91,-0.64
2001,1.27,8.25,6.57,5.12,10.46,4.28,-3.04,11.46,-9.47,7.81,10.57,3.84,7.59,-0.23
2002,0.16,6.57,6.45,3.09,9.20,2.63,-3.81,10.64,-10.22,6.54,9.67,2.18,5.50,0.18
2003,0.70,7.31,7.03,4.06,9.30,3.74,-3.40,10.59,-9.38,6.38,9.79,2.57,6.32,-0.06
2004,-0.17,6.96,7.44,2.56,8.98,3.64,-4.72,10.22,-11.37,5.88,9.39,2.21,5.37,-0.31
2005,1.22,8.07,7.42,4.34,9.66,4.49,-3.04,11.13,-9.39,7.53,10.24,3.65,6.73,0.39
2006,1.91,8.55,7.18,5.56,10.72,5.22,-2.24,12.17,-8.13,8.19,11.27,4.37,7.58,-0.71
2007,0.40,7.16,6.36,3.68,9.47,3.34,-3.81,10.79,-9.94,6.70,9.75,2.57,6.15,-0.80
2008,0.18,7.11,6.14,2.87,9.89,4.12,-4.09,11.36,-10.25,5.87,10.40,3.05,5.84,-1.60
2009,0.26,6.70,6.37,2.82,9.66,3.65,-3.97,11.17,-9.57,5.83,10.27,2.73,5.33,-0.97
2010,2.04,7.79,7.28,4.97,11.34,5.34,-1.97,12.44,-7.41,7.97,11.59,4.68,6.61,0.34
2011,0.84,7.17,6.14,4.44,10.44,4.05,-3.13,11.79,-9.49,7.28,10.84,3.27,6.44,-0.80
2012,1.15,7.67,6.43,4.83,11.47,4.95,-3.29,12.78,-9.41,8.15,11.90,4.02,6.88,-1.93
2013,0.27,7.29,7.12,2.72,10.03,3.88,-3.46,11.39,-10.41,5.66,10.49,2.71,5.46,-0.55
2014,0.24,6.91,7.05,2.32,9.82,3.74,-3.41,11.41,-10.01,4.99,10.55,2.62,5.24,0.08
2015,0.78,8.66,8.05,4.44,9.90,2.58,-2.84,11.31,-10.62,6.93,10.32,2.18,7.45,0.28
2016,1.45,8.38,7.88,4.88,11.10,3.52,-2.23,12.18,-9.33,7.63,11.29,3.15,7.49,1.28
2017,0.92,7.69,6.91,4.01,10.72,4.02,-2.80,11.87,-9.83,6.83,11.04,3.33,6.73,-0.01
2018,0.05,6.80,7.02,2.81,10.43,3.13,-3.81,11.62,-11.12,6.27,10.76,2.35,5.31,0.18
2019,0.24,6.52,6.88,2.58,9.81,3.48,-3.34,11.05,-10.63,5.91,10.23,2.83,5.06,1.18
2020,0.46,6.85,6.68,3.67,11.14,4.40,-4.21,12.32,-10.66,7.28,11.41,3.72,5.98,-1.24
